Date,Symbol,Open,Volume,high,Investments,Earnings per share,gross profit
2016-01-05,WLTW,123.43,2163600.0,126.25,3000000,7.23,3829000000
2016-01-06,WLTW,125.239998,2386400.0,125.540001,3000000,7.23,3829000000
2016-01-07,WLTW,116.379997,2489500.0,119.739998,3000000,7.23,3829000000
2016-01-08,WLTW,115.480003,2006300.0,117.440002,3000000,7.23,3829000000
2016-01-11,WLTW,117.010002,1408600.0,117.330002,3000000,7.23,3829000000
2016-01-12,WLTW,115.510002,1098000.0,116.059998,3000000,7.23,3829000000
2016-01-13,WLTW,116.459999,949600.0,117.07,3000000,7.23,3829000000
2016-01-14,WLTW,113.510002,785300.0,115.029999,3000000,7.23,3829000000
2016-01-15,WLTW,113.330002,1093700.0,114.879997,3000000,7.23,3829000000
2016-01-19,WLTW,113.660004,1523500.0,115.870003,3000000,7.23,3829000000
2016-01-20,WLTW,109.059998,1653900.0,111.599998,3000000,7.23,3829000000
2016-01-21,WLTW,109.730003,944300.0,110.580002,3000000,7.23,3829000000
2016-01-22,WLTW,111.879997,744900.0,112.949997,3000000,7.23,3829000000
2016-01-25,WLTW,111.32,703800.0,114.629997,3000000,7.23,3829000000
2016-01-26,WLTW,110.419998,563100.0,111.400002,3000000,7.23,3829000000
2016-01-27,WLTW,110.769997,896100.0,112.57,3000000,7.23,3829000000
2016-01-28,WLTW,110.900002,680400.0,112.970001,3000000,7.23,3829000000
2016-01-29,WLTW,113.349998,749900.0,114.589996,3000000,7.23,3829000000
2016-02-01,WLTW,114.0,574200.0,114.849998,3000000,7.23,3829000000
2016-02-02,WLTW,113.25,694800.0,113.860001,3000000,7.23,3829000000
2016-02-03,WLTW,113.379997,896300.0,114.639999,3000000,7.23,3829000000
2016-02-04,WLTW,114.080002,956300.0,116.32,3000000,7.23,3829000000
2016-02-05,WLTW,115.120003,997100.0,116.489998,3000000,7.23,3829000000
2016-02-08,WLTW,113.300003,1200500.0,113.300003,3000000,7.23,3829000000
2016-02-09,WLTW,111.169998,1725200.0,112.110001,3000000,7.23,3829000000
2016-02-10,WLTW,106.730003,1946000.0,112.110001,3000000,7.23,3829000000
2016-02-11,WLTW,105.629997,1319500.0,109.260002,3000000,7.23,3829000000
2016-02-12,WLTW,108.559998,922400.0,109.43,3000000,7.23,3829000000
2016-02-16,WLTW,109.110001,1185100.0,111.300003,3000000,7.23,3829000000
2016-02-17,WLTW,110.830002,921500.0,112.110001,3000000,7.23,3829000000
2016-02-18,WLTW,111.120003,440900.0,112.199997,3000000,7.23,3829000000
2016-02-19,WLTW,111.370003,1244300.0,112.400002,3000000,7.23,3829000000
2016-02-22,WLTW,111.360001,681300.0,113.230003,3000000,7.23,3829000000
2016-02-23,WLTW,112.370003,411200.0,112.800003,3000000,7.23,3829000000
2016-02-24,WLTW,110.769997,447300.0,112.489998,3000000,7.23,3829000000
2016-02-25,WLTW,111.599998,559200.0,112.989998,3000000,7.23,3829000000
2016-02-26,WLTW,113.339996,459900.0,114.18,3000000,7.23,3829000000
2016-02-29,WLTW,113.040001,971600.0,115.360001,3000000,7.23,3829000000
2016-03-01,WLTW,114.269997,694100.0,115.57,3000000,7.23,3829000000
2016-03-02,WLTW,115.349998,1159600.0,117.089996,3000000,7.23,3829000000
2016-03-03,WLTW,116.489998,884700.0,117.669998,3000000,7.23,3829000000
2016-03-04,WLTW,116.610001,692000.0,117.480003,3000000,7.23,3829000000
2016-03-07,WLTW,116.050003,898000.0,117.480003,3000000,7.23,3829000000
2016-03-08,WLTW,116.5,844500.0,117.370003,3000000,7.23,3829000000
2016-03-09,WLTW,117.050003,796500.0,117.309998,3000000,7.23,3829000000
2016-03-10,WLTW,116.910004,416800.0,118.0,3000000,7.23,3829000000
2016-03-11,WLTW,117.93,590200.0,120.760002,3000000,7.23,3829000000
2016-03-14,WLTW,120.419998,495100.0,121.040001,3000000,7.23,3829000000
2016-03-15,WLTW,119.839996,515800.0,120.760002,3000000,7.23,3829000000
2016-03-16,WLTW,120.349998,562100.0,121.040001,3000000,7.23,3829000000
2016-03-17,WLTW,121.010002,809300.0,124.410004,3000000,7.23,3829000000
2016-03-18,WLTW,124.25,1607300.0,124.559998,3000000,7.23,3829000000
2016-03-21,WLTW,120.860001,1001300.0,121.839996,3000000,7.23,3829000000
2016-03-22,WLTW,121.029999,711400.0,122.910004,3000000,7.23,3829000000
2016-03-23,WLTW,121.470001,444200.0,121.470001,3000000,7.23,3829000000
2016-03-24,WLTW,118.889999,534100.0,119.440002,3000000,7.23,3829000000
2016-03-28,WLTW,119.510002,798200.0,120.879997,3000000,7.23,3829000000
2016-03-29,WLTW,117.989998,591000.0,118.93,3000000,7.23,3829000000
2016-03-30,WLTW,118.400002,443200.0,119.669998,3000000,7.23,3829000000
2016-03-31,WLTW,118.779999,578000.0,119.339996,3000000,7.23,3829000000
2016-04-01,WLTW,118.080002,765100.0,120.339996,3000000,7.23,3829000000
2016-04-04,WLTW,119.660004,514300.0,120.349998,3000000,7.23,3829000000
2016-04-05,WLTW,116.400002,1150000.0,116.440002,3000000,7.23,3829000000
2016-04-06,WLTW,114.089996,2035300.0,115.610001,3000000,7.23,3829000000
2016-04-07,WLTW,114.739998,702200.0,115.269997,3000000,7.23,3829000000
2016-04-08,WLTW,114.879997,689100.0,115.0,3000000,7.23,3829000000
2016-04-11,WLTW,114.110001,553200.0,115.949997,3000000,7.23,3829000000
2016-04-12,WLTW,114.989998,775900.0,115.989998,3000000,7.23,3829000000
2016-04-13,WLTW,115.809998,621700.0,118.010002,3000000,7.23,3829000000
2016-04-14,WLTW,118.160004,358100.0,119.68,3000000,7.23,3829000000
2016-04-15,WLTW,117.5,939300.0,118.800003,3000000,7.23,3829000000
2016-04-18,WLTW,118.32,735500.0,121.269997,3000000,7.23,3829000000
2016-04-19,WLTW,121.349998,924600.0,122.419998,3000000,7.23,3829000000
2016-04-20,WLTW,121.099998,658800.0,122.459999,3000000,7.23,3829000000
2016-04-21,WLTW,122.610001,1055400.0,124.129997,3000000,7.23,3829000000
2016-04-22,WLTW,123.480003,695300.0,124.739998,3000000,7.23,3829000000
2016-04-25,WLTW,123.199997,460000.0,124.0,3000000,7.23,3829000000
2016-04-26,WLTW,123.959999,532900.0,124.459999,3000000,7.23,3829000000
2016-04-27,WLTW,124.589996,462600.0,124.989998,3000000,7.23,3829000000
2016-04-28,WLTW,123.540001,910700.0,124.620003,3000000,7.23,3829000000
2016-04-29,WLTW,123.800003,889600.0,125.169998,3000000,7.23,3829000000
2016-05-02,WLTW,125.440002,734700.0,126.739998,3000000,7.23,3829000000
2016-05-03,WLTW,124.559998,1304800.0,126.43,3000000,7.23,3829000000
