Date,Price,Open,High,Low,Change %
"Dec 30, 2016",67.955,67.935,68,67.85,0.03%
"Dec 29, 2016",67.935,68.232,68.258,67.905,-0.44%
"Dec 28, 2016",68.233,67.977,68.261,67.955,0.38%
"Dec 27, 2016",67.978,67.82,68.09,67.76,0.32%
"Dec 26, 2016",67.76,67.841,67.863,67.705,-0.11%
"Dec 23, 2016",67.837,67.845,67.95,67.74,-0.02%
"Dec 22, 2016",67.848,67.838,68.04,67.82,0.02%
"Dec 21, 2016",67.837,67.917,67.97,67.77,-0.12%
"Dec 20, 2016",67.917,67.847,68.111,67.81,0.11%
"Dec 19, 2016",67.844,67.85,67.9,67.708,-0.02%
"Dec 16, 2016",67.855,67.855,67.88,67.738,0.00%
"Dec 15, 2016",67.857,67.77,67.95,67.688,0.57%
"Dec 14, 2016",67.475,67.425,67.605,67.4,0.09%
"Dec 13, 2016",67.411,67.428,67.609,67.38,-0.03%
"Dec 12, 2016",67.431,67.471,67.649,67.37,-0.06%
"Dec 09, 2016",67.47,67.41,67.64,67.368,-0.11%
"Dec 08, 2016",67.546,67.445,67.571,67.318,0.16%
"Dec 07, 2016",67.438,67.738,67.98,67.425,-0.45%
"Dec 06, 2016",67.742,68.026,68.158,67.675,-0.42%
"Dec 05, 2016",68.025,68.021,68.275,68.015,-0.01%
"Dec 02, 2016",68.031,68.235,68.393,68.01,-0.30%
"Dec 01, 2016",68.236,68.595,68.598,68.19,-0.53%
"Nov 30, 2016",68.598,68.615,68.71,68.368,-0.02%
"Nov 29, 2016",68.615,68.575,68.776,68.561,0.05%
"Nov 28, 2016",68.579,68.519,68.81,68.355,0.09%
"Nov 25, 2016",68.519,68.755,68.761,68.3,-0.35%
"Nov 24, 2016",68.761,68.81,68.87,68.578,-0.03%
"Nov 23, 2016",68.784,68.395,68.881,68.36,0.57%
"Nov 22, 2016",68.396,68.225,68.49,68.06,0.25%
"Nov 21, 2016",68.228,68.185,68.293,68.02,0.05%
"Nov 18, 2016",68.191,68.03,68.25,67.94,0.25%
"Nov 17, 2016",68.023,67.983,68.075,67.767,0.04%
"Nov 16, 2016",67.999,67.785,68.12,67.618,0.31%
"Nov 15, 2016",67.786,67.786,67.875,67.53,0.00%
"Nov 14, 2016",67.785,67.52,67.786,67.46,0.33%
"Nov 11, 2016",67.565,67.301,67.565,66.985,1.05%
"Nov 10, 2016",66.865,66.468,66.865,66.33,0.53%
"Nov 09, 2016",66.515,66.261,66.945,66.242,0.41%
"Nov 08, 2016",66.246,66.745,66.748,66.242,-0.75%
"Nov 07, 2016",66.745,66.795,66.805,66.676,-0.08%
"Nov 04, 2016",66.796,66.665,66.805,66.65,0.19%
"Nov 03, 2016",66.668,66.778,66.798,66.63,-0.14%
"Nov 02, 2016",66.762,66.695,66.87,66.63,0.10%
"Nov 01, 2016",66.696,66.685,66.78,66.66,0.01%
"Oct 31, 2016",66.686,66.779,66.8,66.65,-0.14%
"Oct 28, 2016",66.778,66.894,66.934,66.691,-0.15%
"Oct 27, 2016",66.881,66.862,66.963,66.79,0.03%
"Oct 26, 2016",66.863,66.812,66.9,66.758,0.09%
"Oct 25, 2016",66.806,66.851,66.94,66.74,-0.06%
"Oct 24, 2016",66.845,66.921,66.935,66.766,-0.12%
"Oct 21, 2016",66.926,66.852,67.005,66.76,0.14%
"Oct 20, 2016",66.83,66.638,66.87,66.61,0.28%
"Oct 19, 2016",66.645,66.74,66.775,66.61,-0.13%
"Oct 18, 2016",66.733,66.789,66.802,66.65,-0.08%
"Oct 17, 2016",66.789,66.718,66.9,66.715,0.11%
"Oct 14, 2016",66.717,66.794,66.91,66.64,-0.12%
"Oct 13, 2016",66.794,66.827,66.99,66.73,-0.03%
"Oct 12, 2016",66.812,66.819,66.885,66.73,-0.03%
"Oct 11, 2016",66.834,66.508,66.862,66.494,0.51%
"Oct 10, 2016",66.492,66.602,66.62,66.473,-0.17%
"Oct 07, 2016",66.602,66.696,66.89,66.535,-0.14%
"Oct 06, 2016",66.697,66.574,66.796,66.554,0.19%
"Oct 05, 2016",66.572,66.613,66.675,66.505,-0.06%
"Oct 04, 2016",66.609,66.494,66.63,66.373,0.09%
"Oct 03, 2016",66.546,66.555,66.61,66.43,-0.02%
"Sep 30, 2016",66.556,66.802,66.873,66.51,-0.38%
"Sep 29, 2016",66.812,66.346,66.955,66.327,0.70%
"Sep 28, 2016",66.349,66.47,66.548,66.346,-0.11%
"Sep 27, 2016",66.425,66.629,66.712,66.425,-0.28%
"Sep 26, 2016",66.613,66.707,66.805,66.547,-0.14%
"Sep 23, 2016",66.707,66.635,66.75,66.593,0.11%
"Sep 22, 2016",66.633,66.762,66.903,66.53,-0.17%
"Sep 21, 2016",66.744,66.988,67.145,66.738,-0.36%
"Sep 20, 2016",66.985,66.98,67.07,66.91,0.01%
"Sep 19, 2016",66.98,67.076,67.08,66.87,-0.14%
"Sep 16, 2016",67.075,66.863,67.12,66.775,0.32%
"Sep 15, 2016",66.86,66.798,67.085,66.767,0.09%
"Sep 14, 2016",66.798,67.131,67.132,66.786,-0.51%
"Sep 13, 2016",67.14,66.738,67.148,66.732,0.60%
"Sep 12, 2016",66.738,66.85,66.995,66.727,-0.23%
"Sep 09, 2016",66.895,66.653,66.895,66.46,0.40%
"Sep 08, 2016",66.631,66.478,66.676,66.365,0.23%
"Sep 07, 2016",66.478,66.37,66.506,66.31,0.30%
"Sep 06, 2016",66.28,66.55,66.58,66.27,-0.29%
"Sep 05, 2016",66.47,66.65,66.665,66.435,-0.49%
"Sep 02, 2016",66.795,66.833,66.897,66.617,-0.01%
"Sep 01, 2016",66.801,66.962,67.095,66.758,-0.26%
"Aug 31, 2016",66.973,67.148,67.155,66.92,-0.25%
"Aug 30, 2016",67.144,67.096,67.155,66.934,0.05%
"Aug 29, 2016",67.113,67.137,67.215,67.06,-0.03%
"Aug 26, 2016",67.136,67.014,67.161,66.831,0.18%
"Aug 25, 2016",67.016,67.167,67.167,67,-0.22%
"Aug 24, 2016",67.167,67.153,67.295,67.087,0.07%
"Aug 23, 2016",67.122,67.194,67.211,67.03,-0.12%
"Aug 22, 2016",67.202,67.138,67.37,67.095,0.10%
"Aug 19, 2016",67.137,66.822,67.205,66.822,0.46%
"Aug 18, 2016",66.83,66.904,66.916,66.717,-0.09%
"Aug 17, 2016",66.893,66.857,66.986,66.84,0.03%
