Date,Price,Open,High,Low,Change%
"Feb 19, 2018",64.581,64.39,64.66,64.215,0.30%
"Feb 18, 2018",64.39,64.39,64.39,64.39,0.27%
"Feb 16, 2018",64.215,63.875,64.23,63.815,0.49%
"Feb 15, 2018",63.9,63.96,63.98,63.875,-0.31%
"Feb 14, 2018",64.1,64.155,64.192,64.045,-0.26%
"Feb 13, 2018",64.265,64.275,64.275,64.265,-0.02%
"Feb 12, 2018",64.28,64.29,64.35,64.24,-0.15%
"Feb 09, 2018",64.375,64.425,64.438,64.285,0.12%
"Feb 08, 2018",64.3,64.39,64.39,64.15,0.03%
"Feb 07, 2018",64.28,64.22,64.312,64.045,0.08%
"Feb 06, 2018",64.23,64.36,64.405,64.1,0.14%
"Feb 05, 2018",64.14,64.24,64.24,64.01,0.02%
"Feb 02, 2018",64.13,64.125,64.2,63.74,0.23%
"Feb 01, 2018",63.98,63.65,64.065,63.56,0.68%
"Jan 31, 2018",63.55,63.68,63.752,63.55,-0.22%
"Jan 30, 2018",63.69,63.7,63.815,63.595,0.14%
"Jan 29, 2018",63.6,63.61,63.625,63.49,0.02%
"Jan 26, 2018",63.59,63.525,63.62,63.515,0.12%
"Jan 25, 2018",63.515,63.515,63.64,63.455,-0.23%
"Jan 24, 2018",63.66,63.74,63.74,63.63,-0.16%
"Jan 23, 2018",63.76,63.91,63.91,63.75,-0.20%
"Jan 22, 2018",63.89,63.89,64.01,63.725,0.09%
"Jan 19, 2018",63.83,63.68,63.87,63.635,-0.06%
"Jan 18, 2018",63.87,63.86,63.95,63.755,-0.02%
"Jan 17, 2018",63.885,64.08,64.08,63.772,-0.21%
"Jan 16, 2018",64.02,63.61,64.13,63.6,0.80%
"Jan 15, 2018",63.515,63.46,63.515,63.335,-0.15%
"Jan 12, 2018",63.61,63.6,63.73,63.49,-0.13%
"Jan 11, 2018",63.69,63.66,63.828,63.648,0.09%
"Jan 10, 2018",63.63,63.69,63.855,63.56,-0.06%
"Jan 09, 2018",63.67,63.485,63.73,63.425,0.31%
"Jan 08, 2018",63.475,63.335,63.53,63.245,0.21%
"Jan 05, 2018",63.34,63.36,63.425,63.323,-0.09%
"Jan 04, 2018",63.4,63.595,63.615,63.365,-0.17%
"Jan 03, 2018",63.505,63.555,63.575,63.45,0.07%
"Jan 02, 2018",63.46,63.7,63.77,63.44,-0.35%
"Jan 01, 2018",63.68,63.855,63.865,63.635,-0.25%
"Dec 29, 2017",63.84,64.055,64.07,63.79,-0.37%
"Dec 28, 2017",64.08,64.13,64.28,64.078,-0.06%
"Dec 27, 2017",64.12,64.075,64.185,64.075,0.11%
"Dec 26, 2017",64.05,64.04,64.125,64.028,0.05%
"Dec 25, 2017",64.02,64.02,64.02,64.02,0.00%
"Dec 22, 2017",64.02,64.06,64.09,64.02,0.00%
"Dec 21, 2017",64.02,64.02,64.14,64.01,-0.15%
"Dec 20, 2017",64.115,64.01,64.13,64.005,0.09%
"Dec 19, 2017",64.06,64.23,64.23,63.945,-0.23%
"Dec 18, 2017",64.21,64.16,64.73,64.09,0.20%
"Dec 15, 2017",64.08,64.14,64.175,64.015,-0.40%
"Dec 14, 2017",64.34,64.36,64.375,64.255,-0.19%
"Dec 13, 2017",64.46,64.54,64.56,64.425,0.08%
"Dec 12, 2017",64.41,64.42,64.53,64.4,0.09%
"Dec 11, 2017",64.355,64.455,64.455,64.315,-0.19%
"Dec 08, 2017",64.48,64.565,64.59,64.435,-0.14%
"Dec 07, 2017",64.57,64.51,64.61,64.49,0.06%
"Dec 06, 2017",64.53,64.445,64.555,64.398,0.26%
"Dec 05, 2017",64.36,64.3,64.468,64.23,-0.03%
"Dec 04, 2017",64.38,64.56,64.56,64.29,-0.22%
"Dec 01, 2017",64.52,64.505,64.52,64.49,0.05%
"Nov 30, 2017",64.49,64.55,64.635,64.41,0.20%
"Nov 29, 2017",64.36,64.42,64.52,64.28,-0.08%
"Nov 28, 2017",64.41,64.54,64.613,64.37,-0.10%
"Nov 27, 2017",64.477,64.715,64.828,64.477,-0.31%
"Nov 24, 2017",64.68,64.59,64.752,64.555,0.17%
"Nov 23, 2017",64.57,64.815,64.897,64.57,-0.48%
"Nov 22, 2017",64.88,64.78,64.965,64.72,0.00%
"Nov 21, 2017",64.88,65.09,65.125,64.88,-0.34%
"Nov 20, 2017",65.1,64.975,65.125,64.975,0.13%
"Nov 17, 2017",65.015,64.647,65.072,64.625,-0.43%
"Nov 16, 2017",65.295,65.285,65.39,65.125,0.04%
"Nov 15, 2017",65.27,65.44,65.44,65.155,-0.21%
"Nov 14, 2017",65.41,65.32,65.55,65.292,-0.05%
"Nov 13, 2017",65.44,65.37,65.535,65.267,0.38%
"Nov 10, 2017",65.19,65.09,65.208,65.005,0.33%
"Nov 09, 2017",64.975,64.945,65.002,64.852,0.08%
"Nov 08, 2017",64.92,65.135,65.165,64.92,-0.22%
"Nov 07, 2017",65.06,64.66,65.07,64.615,0.67%
"Nov 06, 2017",64.625,64.665,64.742,64.625,0.10%
"Nov 03, 2017",64.56,64.58,64.65,64.52,-0.02%
"Nov 02, 2017",64.575,64.535,64.675,64.475,0.02%
"Nov 01, 2017",64.565,64.705,64.705,64.51,-0.29%
"Oct 31, 2017",64.75,64.84,64.85,64.73,-0.17%
"Oct 30, 2017",64.86,64.89,64.96,64.8,-0.28%
"Oct 27, 2017",65.04,65.025,65.11,64.965,0.31%
"Oct 26, 2017",64.84,64.785,64.92,64.73,-0.13%
"Oct 25, 2017",64.925,65.145,65.2,64.885,-0.25%
"Oct 24, 2017",65.09,64.98,65.125,64.9,0.10%
"Oct 23, 2017",65.023,65.075,65.115,64.98,-0.03%
"Oct 20, 2017",65.04,65,65.045,64.995,0.07%
"Oct 19, 2017",64.995,65.033,65.08,64.995,-0.09%
"Oct 18, 2017",65.055,64.995,65.17,64.965,0.04%
"Oct 17, 2017",65.03,64.795,65.04,64.795,0.51%
"Oct 16, 2017",64.7,64.745,64.77,64.69,0.00%
"Oct 13, 2017",64.7,64.955,64.965,64.7,-0.55%
"Oct 12, 2017",65.06,65.16,65.165,65.035,-0.15%
"Oct 11, 2017",65.16,65.26,65.325,65.13,-0.14%
"Oct 10, 2017",65.25,65.355,65.38,65.205,-0.16%
"Oct 09, 2017",65.355,65.375,65.43,65.275,-0.07%
"Oct 06, 2017",65.4,65.2,65.405,65.2,0.39%
"Oct 05, 2017",65.145,65.095,65.195,64.975,0.18%
"Oct 04, 2017",65.03,65.345,65.385,64.95,-0.69%
"Oct 03, 2017",65.485,65.595,65.637,65.465,0.27%
"Oct 02, 2017",65.31,65.31,65.31,65.31,0.00%
"Sep 29, 2017",65.31,65.352,65.465,65.235,-0.24%
"Sep 28, 2017",65.47,65.835,65.9,65.47,-0.37%
"Sep 27, 2017",65.715,65.365,65.755,65.345,0.39%
"Sep 26, 2017",65.46,65.245,65.49,65.155,0.51%
"Sep 25, 2017",65.127,64.845,65.175,64.725,0.51%
"Sep 22, 2017",64.795,64.805,65.155,64.755,-0.02%
"Sep 21, 2017",64.81,64.515,64.855,64.45,0.80%
"Sep 20, 2017",64.293,64.245,64.435,64.245,-0.01%
"Sep 19, 2017",64.3,64.19,64.35,64.13,0.22%
"Sep 18, 2017",64.158,64.055,64.168,64.002,0.07%
"Sep 15, 2017",64.11,64.145,64.145,64.042,-0.02%
"Sep 14, 2017",64.123,64.168,64.172,64.062,0.18%
"Sep 13, 2017",64.01,63.99,64.05,63.97,-0.03%
"Sep 12, 2017",64.031,63.985,64.055,63.935,0.15%
"Sep 11, 2017",63.935,63.905,63.94,63.838,0.24%
"Sep 08, 2017",63.785,63.87,63.96,63.78,-0.36%
"Sep 07, 2017",64.015,64.042,64.055,63.98,-0.07%
"Sep 06, 2017",64.06,64.105,64.262,64.06,-0.07%
"Sep 05, 2017",64.105,64.105,64.162,64.08,0.10%
"Sep 04, 2017",64.04,63.945,64.178,63.935,0.02%
"Sep 01, 2017",64.025,63.925,64.055,63.875,0.14%
"Aug 31, 2017",63.935,64.035,64.06,63.895,-0.09%
"Aug 30, 2017",63.99,63.975,64.02,63.875,-0.04%
"Aug 29, 2017",64.015,63.955,64.037,63.925,0.17%
"Aug 28, 2017",63.905,63.89,63.93,63.855,-0.16%
"Aug 25, 2017",64.005,64.055,64.065,64.005,-0.06%
"Aug 24, 2017",64.045,64.04,64.09,64.005,0.00%
"Aug 23, 2017",64.045,64.045,64.147,64.045,-0.04%
"Aug 22, 2017",64.072,64.095,64.15,64.05,-0.06%
"Aug 21, 2017",64.11,64.075,64.157,64.015,0.02%
"Aug 18, 2017",64.095,64.185,64.185,64.082,-0.12%
"Aug 17, 2017",64.17,64.17,64.17,64.17,0.00%
"Aug 16, 2017",64.17,64.275,64.328,64.14,0.08%
"Aug 15, 2017",64.12,64.11,64.12,64.11,0.05%
"Aug 14, 2017",64.09,63.985,64.148,63.935,-0.08%
"Aug 11, 2017",64.14,64.23,64.27,64.1,0.07%
"Aug 10, 2017",64.095,63.955,64.115,63.885,0.37%
"Aug 09, 2017",63.86,63.785,63.86,63.715,0.26%
"Aug 08, 2017",63.692,63.755,63.785,63.62,-0.23%
"Aug 07, 2017",63.84,63.73,63.865,63.668,0.26%
"Aug 04, 2017",63.675,63.721,63.786,63.624,-0.05%
"Aug 03, 2017",63.705,63.645,63.72,63.575,0.11%
"Aug 02, 2017",63.635,64.125,64.135,63.595,-0.72%
"Aug 01, 2017",64.095,64.105,64.145,64.045,-0.16%
"Jul 31, 2017",64.2,64.14,64.273,64.075,0.13%
"Jul 28, 2017",64.115,64.195,64.245,64.11,-0.02%
"Jul 27, 2017",64.125,64.195,64.218,64.075,-0.36%
"Jul 26, 2017",64.355,64.472,64.487,64.355,-0.05%
"Jul 25, 2017",64.385,64.355,64.425,64.345,-0.02%
"Jul 24, 2017",64.395,64.415,64.465,64.3,0.02%
"Jul 21, 2017",64.385,64.385,64.39,64.305,0.02%
"Jul 20, 2017",64.375,64.345,64.46,64.325,0.16%
"Jul 19, 2017",64.27,64.37,64.37,64.26,-0.07%
"Jul 18, 2017",64.316,64.37,64.415,64.316,-0.05%
"Jul 17, 2017",64.345,64.365,64.407,64.345,-0.12%
"Jul 14, 2017",64.424,64.488,64.525,64.424,-0.06%
"Jul 13, 2017",64.46,64.398,64.475,64.398,-0.02%
"Jul 12, 2017",64.475,64.535,64.6,64.475,-0.14%
"Jul 11, 2017",64.565,64.465,64.605,64.46,0.14%
"Jul 10, 2017",64.475,64.585,64.597,64.475,-0.23%
"Jul 07, 2017",64.625,64.775,64.775,64.54,-0.15%
"Jul 06, 2017",64.725,64.755,64.808,64.705,-0.12%
"Jul 05, 2017",64.8,64.705,64.865,64.675,0.02%
"Jul 04, 2017",64.79,64.805,64.897,64.705,-0.08%
"Jul 03, 2017",64.845,64.655,64.91,64.635,0.35%
"Jun 30, 2017",64.62,64.73,64.84,64.575,-0.06%
"Jun 29, 2017",64.66,64.455,64.69,64.442,0.21%
"Jun 28, 2017",64.525,64.575,64.66,64.51,0.08%
"Jun 27, 2017",64.475,64.485,64.545,64.405,0.06%
"Jun 26, 2017",64.435,64.465,64.465,64.435,-0.11%
"Jun 23, 2017",64.505,64.585,64.618,64.445,-0.15%
"Jun 22, 2017",64.605,64.545,64.63,64.455,0.12%
"Jun 21, 2017",64.53,64.635,64.68,64.49,-0.02%
"Jun 20, 2017",64.54,64.485,64.54,64.412,0.07%
"Jun 19, 2017",64.495,64.445,64.505,64.34,0.05%
"Jun 16, 2017",64.465,64.69,64.75,64.405,-0.15%
"Jun 15, 2017",64.565,64.295,64.62,64.26,0.51%
"Jun 14, 2017",64.235,64.335,64.367,64.235,-0.17%
"Jun 13, 2017",64.345,64.455,64.515,64.345,-0.21%
"Jun 12, 2017",64.48,64.35,64.49,64.32,0.37%
"Jun 09, 2017",64.245,64.275,64.34,64.167,-0.01%
"Jun 08, 2017",64.25,64.41,64.43,64.208,-0.29%
"Jun 07, 2017",64.435,64.515,64.535,64.315,0.01%
"Jun 06, 2017",64.43,64.34,64.485,64.315,0.12%
"Jun 05, 2017",64.35,64.32,64.4,64.29,-0.10%
"Jun 02, 2017",64.415,64.345,64.52,64.345,-0.10%
"Jun 01, 2017",64.478,64.525,64.598,64.433,-0.05%
"May 31, 2017",64.51,64.605,64.605,64.46,-0.19%
"May 30, 2017",64.635,64.645,64.707,64.605,0.15%
"May 29, 2017",64.54,64.485,64.595,64.455,0.05%
"May 26, 2017",64.51,64.565,64.63,64.425,-0.07%
