Date,Price,Open,High,Low,Change %
"Jan 11, 2018",63.69,63.66,63.828,63.648,0.09%
"Jan 10, 2018",63.63,63.69,63.855,63.56,-0.06%
"Jan 09, 2018",63.67,63.485,63.73,63.425,0.31%
"Jan 08, 2018",63.475,63.335,63.53,63.245,0.21%
"Jan 05, 2018",63.34,63.36,63.425,63.322,-0.09%
"Jan 04, 2018",63.4,63.595,63.615,63.365,-0.17%
"Jan 03, 2018",63.505,63.555,63.575,63.45,0.07%
"Jan 02, 2018",63.46,63.7,63.77,63.44,-0.35%
"Jan 01, 2018",63.68,63.855,63.865,63.635,-0.25%
"Dec 29, 2017",63.84,64.055,64.07,63.79,-0.37%
"Dec 28, 2017",64.08,64.13,64.28,64.078,-0.06%
"Dec 27, 2017",64.12,64.075,64.185,64.075,0.11%
"Dec 26, 2017",64.05,64.04,64.125,64.028,0.05%
"Dec 25, 2017",64.02,64.02,64.02,64.02,0.00%
"Dec 22, 2017",64.02,64.06,64.09,64.02,0.00%
"Dec 21, 2017",64.02,64.02,64.14,64.01,-0.15%
"Dec 20, 2017",64.115,64.01,64.13,64.005,0.09%
"Dec 19, 2017",64.06,64.23,64.23,63.945,-0.23%
"Dec 18, 2017",64.21,64.16,64.73,64.09,0.20%
"Dec 15, 2017",64.08,64.14,64.175,64.015,-0.40%
"Dec 14, 2017",64.34,64.36,64.375,64.255,-0.19%
"Dec 13, 2017",64.46,64.54,64.56,64.425,0.08%
"Dec 12, 2017",64.41,64.42,64.53,64.4,0.09%
"Dec 11, 2017",64.355,64.455,64.455,64.315,-0.19%
"Dec 08, 2017",64.48,64.565,64.59,64.435,-0.14%
"Dec 07, 2017",64.57,64.51,64.61,64.49,0.06%
"Dec 06, 2017",64.53,64.445,64.555,64.397,0.26%
"Dec 05, 2017",64.36,64.3,64.468,64.23,-0.03%
"Dec 04, 2017",64.38,64.56,64.56,64.29,-0.22%
"Dec 01, 2017",64.52,64.505,64.52,64.49,0.05%
"Nov 30, 2017",64.49,64.55,64.635,64.41,0.20%
"Nov 29, 2017",64.36,64.42,64.52,64.28,-0.08%
